[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005365s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowPageTrace Behavior [ RunTime:0.001492s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --END-- [ RunTime:0.001872s ]
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001723s ]
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002014s ]
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:28+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:29+08:00 ] /admin.php?a=doLogin&m=Public | SQL: SHOW COLUMNS FROM `yge_admin` [ RunTime:0.208607s ]
[ 2012-09-13T15:52:29+08:00 ] /admin.php?a=doLogin&m=Public | SQL: SELECT * FROM `yge_admin` WHERE ( `username` = 'admin' ) LIMIT 1   [ RunTime:0.000652s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001775s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002065s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | SQL: SHOW COLUMNS FROM `yge_admin` [ RunTime:0.005617s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | SQL: SELECT * FROM `yge_admin` WHERE ( `username` = 'lizhongyi' ) LIMIT 1   [ RunTime:0.000613s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | SQL: SHOW COLUMNS FROM `yge_admin_role` [ RunTime:0.094406s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | SQL: SELECT * FROM `yge_admin_role` WHERE id=1 LIMIT 1   [ RunTime:0.020950s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [8] Undefined variable: where conn.php 第 606 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [8] Uninitialized string offset: 0 PublicAction.class.php 第 106 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php?a=doLogin&m=Public | NOTIC: [8] Uninitialized string offset: 0 PublicAction.class.php 第 107 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:39+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001747s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002038s ]
[ 2012-09-13T15:52:39+08:00 ] /admin.php | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:39+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.268071s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.008388s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | NOTIC: [8] Undefined variable: security IndexAction.class.php 第 23 行.
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: select version() [ RunTime:0.000393s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_admin` [ RunTime:0.005686s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: SELECT * FROM `yge_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000507s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_admin_log` [ RunTime:0.030061s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | SQL: INSERT INTO `yge_admin_log` (`user_id`,`username`,`action`,`ip`,`create_time`) VALUES (1,'lizhongyi','/admin.php','127.0.0.1',1347522760) [ RunTime:0.005515s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.004233s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.004429s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T15:52:40+08:00 ] /admin.php | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-13T15:52:40+08:00 ] /admin.php | NOTIC: [8] Undefined variable: _TPL 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-13T15:52:40+08:00 ] /admin.php | NOTIC: [8] Undefined variable: value 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.099641s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.099841s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001381s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001108s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000849s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001460s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005301s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
