[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Run ShowRuntime Behavior [ RunTime:0.007222s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.031261s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Tag[ view_end ] --START--
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Run ShowPageTrace Behavior [ RunTime:0.016651s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Tag[ view_end ] --END-- [ RunTime:0.016837s ]
[ 2012-09-11T16:36:12+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ app_begin ] --START--
[ 2012-09-11T16:36:12+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007158s ]
[ 2012-09-11T16:36:12+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007358s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.004409s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.002326s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: SHOW COLUMNS FROM `yge_category` [ RunTime:0.022736s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: SELECT * FROM `yge_category` ORDER BY display_order DESC,id DESC  [ RunTime:0.005718s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: SHOW COLUMNS FROM `yge_product` [ RunTime:0.005197s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [8] Undefined offset:  1 Action.class.php 第 233 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: SELECT * FROM `yge_product` WHERE id = 104 LIMIT 1   [ RunTime:0.002356s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | SQL: DELETE FROM `yge_product` WHERE id = 104 [ RunTime:0.157992s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [2] unlink() [<a href='function.unlink'>function.unlink</a>]: open_basedir restriction in effect. File(/html/Product/shexiang/201209/104.html) is not within the allowed path(s): (E:\phpnow\vhosts\xili;C:\Windows\Temp;) ProductAction.class.php 第 384 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [8] Undefined variable: items ProductAction.class.php 第 391 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | NOTIC: [8] Undefined variable: jumpUri ProductAction.class.php 第 391 行.
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_template ] --START--
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run LocationTemplate Behavior [ RunTime:0.012140s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_template ] --END-- [ RunTime:0.012295s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_parse ] --START--
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run ParseTemplate Behavior [ RunTime:0.067531s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.067695s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_filter ] --START--
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run ContentReplace Behavior [ RunTime:0.007395s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run TokenBuild Behavior [ RunTime:0.007421s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008367s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run ShowRuntime Behavior [ RunTime:0.007597s ]
